"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1456,1644.5,83.4820824318458,3580.84110767818
"2002/2003",2003,120,120,100,1610,1669,80.3852064055824,2935.46055799555
"2003/2004",2004,120,120,100,1615,1431.5,79.9920637123317,1421.59538430718
"2004/2005",2005,121,121,100,1832,1672.5,85.0997308691752,2069.39944975282
"2005/2006",2006,120,120,100,1635,1800.5,85.5459745035816,3272.43632043933
"2006/2007",2007,120,120,100,1643,1696,82.1526170446135,2662.17152260622
"2007/2008",2008,120,120,100,1419,1238.5,74.3152444189818,1705.45392979041
"2008/2009",2009,121,121,100,1640,1531.5,79.308743748009,2052.8462389441
"2009/2010",2010,120,120,100,1693,1692.5,80.0730428818672,2197.04122427967
"2010/2011",2011,120,120,100,1753,1681,84.3596377413585,2096.17316743359
"2011/2012",2012,120,120,100,1810,1608.5,81.6695161881305,1841.99632478307
"2012/2013",2013,121,121,100,1507,1470.5,81.2127050226106,2376.08356966928
"2013/2014",2014,120,120,100,1562,1452.5,76.8920029883727,1681.62289555988
"2014/2015",2015,120,120,100,940,935.5,64.6739407931336,3146.8205055584
"2015/2016",2016,120,120,100,1718,1682.5,82.9352332376789,2405.12616249768
"2016/2017",2017,121,121,100,1343,1384,78.7619964042474,3722.52285757964
"2017/2018",2018,120,120,100,1334,1327,73.7574792381997,3037.2983967819
"2018/2019",2019,120,120,100,1349,1144,71.580867703728,1885.96399313223
"2019/2020",2020,120,120,100,1416,1518,81.3913088372442,3185.20749500347
"2020/2021",2021,121,121,100,1636,1747,86.0986066204923,3499.48068141588
"2021/2022",2022,120,120,100,1230,1063.5,70.7301875318853,1894.85408546869
"2022/2023",2023,120,120,100,1374,1313,75.4550786066502,2956.12425298034
"2023/2024",2024,120,120,100,1689,1793,83.6880602252158,2959.38488404755
"2024/2025",2025,121,121,100,1725,1768,86.6427136135544,2448.19493173691
"2025/2026",2026,120,120,100,1685,1528.5,81.1578510210265,2536.06118281931
"2026/2027",2027,120,120,100,1244,1094.5,70.9681676235487,1064.9320976024
"2027/2028",2028,120,120,100,1582,1543,79.9110476000196,2308.58245904022
"2028/2029",2029,121,121,100,1590,1439.5,81.1264406901964,1817.32380001387
"2029/2030",2030,120,120,100,1515,1458.5,79.660994079677,2129.73066008859
"2030/2031",2031,120,120,100,1502,1622.5,84.6376068324107,2845.74211044377
"2031/2032",2032,120,120,100,1524,1413,77.0245062736312,2289.85949064768
"2032/2033",2033,121,121,100,1637,1645,81.6379693450881,2198.26270266436
"2033/2034",2034,120,120,100,1516,1410,79.0165856933172,1463.53839205299
"2034/2035",2035,120,120,100,1360,1122,72.8539361018029,1845.09097264684
"2035/2036",2036,120,120,100,1522,1431,79.8442608707046,2549.79495979729
"2036/2037",2037,121,121,100,1574,1673,85.164795118354,2509.29583585332
"2037/2038",2038,120,120,100,1471,1176,75.0081239035717,1200.23803586094
"2038/2039",2039,120,120,100,1610,1673,80.7423199549694,3193.40795888705
"2039/2040",2040,120,120,100,1680,1946.5,87.7082769654317,3602.44545293739
"2040/2041",2041,121,121,100,1759,1686,85.2264982776496,2350.39584670542
"2041/2042",2042,120,120,100,1902,1692.5,81.6493278605139,1392.75281072874
"2042/2043",2043,120,120,100,1390,1818,84.3016977971993,5062.63235495891
"2043/2044",2044,120,120,100,1595,1292.5,78.3874314494424,1193.06603848236
"2044/2045",2045,121,121,100,1808,1751,83.1783952943297,2112.02967840666
