"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1442,1589.5,82.6216121889635,3136.99621288949
"2002/2003",2003,120,120,100,1561,1571.5,78.3662908872804,2632.66586030764
"2003/2004",2004,120,120,100,1574,1348.5,76.9296256445851,1151.00810025248
"2004/2005",2005,121,121,100,1771,1586.5,81.9364719485251,1728.94522494235
"2005/2006",2006,120,120,100,1648,1765.5,85.0153844408345,2679.18902428338
"2006/2007",2007,120,120,100,1640,1621.5,80.5101696300383,2267.1389903932
"2007/2008",2008,120,120,100,1308,1135,73.3581383231237,1555.75966208539
"2008/2009",2009,121,121,100,1597,1418.5,76.977971364721,1730.52784266719
"2009/2010",2010,120,120,100,1719,1627.5,79.0580087183728,1787.69465453515
"2010/2011",2011,120,120,100,1778,1592.5,82.5580510641162,1682.60015316284
"2011/2012",2012,120,120,100,1734,1471.5,80.2034354978036,1574.42946409399
"2012/2013",2013,121,121,100,1450,1364,78.582515692462,2102.49402363785
"2013/2014",2014,120,120,100,1517,1375,74.9630821331227,1373.43367266282
"2014/2015",2015,120,120,100,873,873,62.9365785628679,3026.43131065601
"2015/2016",2016,120,120,100,1685,1556,80.9242971464587,2136.14780220634
"2016/2017",2017,121,121,100,1301,1309.5,78.6023907276408,3330.92804480786
"2017/2018",2018,120,120,100,1294,1250,73.7358900914869,2766.92531588499
"2018/2019",2019,120,120,100,1232,1032.5,68.3119031360588,1796.61152303405
"2019/2020",2020,120,120,100,1409,1444.5,78.7278029600452,2775.86686614237
"2020/2021",2021,121,121,100,1653,1662.5,84.802008286707,2972.65953569533
"2021/2022",2022,120,120,100,1125,994,65.9788757980277,1676.84601509222
"2022/2023",2023,120,120,100,1262,1187.5,74.0487320876709,2763.18474235805
"2023/2024",2024,120,120,100,1648,1709,81.8708956449864,2604.03685479006
"2024/2025",2025,121,121,100,1715,1670,84.7786821820791,2041.43264195649
"2025/2026",2026,120,120,100,1693,1444,80.7267063296731,2067.57826136961
"2026/2027",2027,120,120,100,1210,1007.5,68.7507071322275,850.965642139083
"2027/2028",2028,120,120,100,1530,1473,77.6332160768616,1992.67404058087
"2028/2029",2029,121,121,100,1502,1311,78.4185868387431,1562.30012296443
"2029/2030",2030,120,120,100,1463,1349,77.1369909987161,1891.53151919413
"2030/2031",2031,120,120,100,1504,1540.5,82.2210923200046,2418.78238487779
"2031/2032",2032,120,120,100,1484,1325,76.0822081728129,2018.80450928141
"2032/2033",2033,121,121,100,1621,1557.5,79.6534430321299,1883.22221939429
"2033/2034",2034,120,120,100,1489,1301,76.6083466958662,1244.51364125893
"2034/2035",2035,120,120,100,1209,985.5,69.5278277333373,1725.67010364402
"2035/2036",2036,120,120,100,1430,1329,78.3223691702378,2274.07543666358
"2036/2037",2037,121,121,100,1548,1586.5,82.743511161977,2180.56407879293
"2037/2038",2038,120,120,100,1364,1074.5,73.7127733959642,1054.12888380117
"2038/2039",2039,120,120,100,1580,1567,80.9603778245219,2824.50898726983
"2039/2040",2040,120,120,100,1689,1874,85.2749275798615,3142.53092145547
"2040/2041",2041,121,121,100,1698,1529,81.8309727121941,2092.12461048784
"2041/2042",2042,120,120,100,1826,1533.5,77.8085817965166,1211.73871701257
"2042/2043",2043,120,120,100,1471,1751,83.5403175714582,4531.34997232491
"2043/2044",2044,120,120,100,1483,1180.5,76.3624446071562,1016.54580597114
"2044/2045",2045,121,121,100,1751,1607,81.2442880593198,1892.35680118063
"2045/2046",2046,120,120,100,1290,1183,71.3840402330725,1711.29159843503
"2046/2047",2047,120,120,100,1440,1189.5,73.2116834975122,1765.98075016402
"2047/2048",2048,120,120,100,1525,1448,75.7607040116891,1760.16845612461
"2048/2049",2049,121,121,100,1788,1531,83.3370276457454,1358.09532229509
"2049/2050",2050,120,120,100,1397,1169,74.0134746175299,1066.86486001825
"2050/2051",2051,120,120,100,1401,930,70.7378737806466,781.746255844831
"2051/2052",2052,120,120,100,1399,1215,76.6624237326096,2223.96379798092
"2052/2053",2053,121,121,100,1463,1442,78.0420884839077,3044.69989832956
"2053/2054",2054,120,120,100,1603,1670.5,81.7069277576338,2640.5041265185
"2054/2055",2055,120,120,100,1650,1618,83.6356811362075,2740.3176610982
"2055/2056",2056,120,120,100,1426,1337,77.2504292284357,2095.36607965594
"2056/2057",2057,121,121,100,1489,1162,75.1748486336237,3260.27884227457
"2057/2058",2058,120,120,100,1338,1402,72.8994350436897,1893.82714030426
"2058/2059",2059,120,120,100,1707,1619,84.8813667553313,2406.53438117728
"2059/2060",2060,120,120,100,1154,1069,66.9654889505655,1572.60833425354
"2060/2061",2061,121,121,100,1490,1576,82.7743419974358,2780.43379062507
"2061/2062",2062,120,120,100,1183,1140,70.2192203451486,4238.04119416699
"2062/2063",2063,120,120,100,1455,1134,71.3798950975124,1251.5149491406
"2063/2064",2064,120,120,100,1513,1237,75.5036756200861,853.717324504163
"2064/2065",2065,121,121,100,1326,1361,76.9393144953647,2344.65430587158
"2065/2066",2066,120,120,100,1637,1484.5,81.4766125537099,2051.04173504049
"2066/2067",2067,120,120,100,1668,1532.5,80.3489993544481,1918.16369053163
"2067/2068",2068,120,120,100,1500,1206.5,75.0847714944503,955.345419601072
"2068/2069",2069,121,121,100,1527,1785.5,84.8260487792541,3176.74539776426
"2069/2070",2070,120,120,100,1358,1276,74.0736823538155,2500.88465308445
"2070/2071",2071,120,120,100,1603,1535,76.6823436179566,1822.6923404173
"2071/2072",2072,120,120,100,1580,1414,76.1789195562633,1668.94108758727
"2072/2073",2073,121,121,100,1332,1391,81.1222106358509,3003.75442399178
"2073/2074",2074,120,120,100,1668,1760.5,82.4771225455297,2755.31411510753
"2074/2075",2075,120,120,100,1246,1128,68.581324237939,4140.87981643761
"2075/2076",2076,120,120,100,1426,1577.5,80.6858368937374,2890.96058912249
"2076/2077",2077,121,121,100,1748,1749,86.2952167407366,2685.58478571754
"2077/2078",2078,120,120,100,1419,1142,72.378730750519,957.376488868147
"2078/2079",2079,120,120,100,1613,1357.5,72.3100370615757,750.952770089731
"2079/2080",2080,120,120,100,1756,1568,80.6033558702293,1692.79802182317
"2080/2081",2081,121,121,100,1667,1632.5,82.6455314134546,2483.69849225599
"2081/2082",2082,120,120,100,1519,1534.5,75.3424587131631,2741.19350704178
"2082/2083",2083,120,120,100,1552,1440.5,78.6648176241379,2466.11880159285
"2083/2084",2084,120,120,100,1536,1639,81.0591799446247,3231.03390067816
"2084/2085",2085,121,121,100,1502,1167,72.1372329550686,1051.91868998017
"2085/2086",2086,120,120,100,1507,1475.5,76.1609333753786,1658.2007525973
"2086/2087",2087,120,120,100,1412,1250,72.6132824696324,2099.91705990955
"2087/2088",2088,120,120,100,1685,1402,78.3925586401056,1524.39637971483
"2088/2089",2089,121,121,100,1385,1319,76.5999291050848,2514.55278898403
"2089/2090",2090,120,120,100,1580,1470.5,79.2486172496247,1476.02465685643
"2090/2091",2091,120,120,100,1478,1144,74.490557180261,892.274619824253
"2091/2092",2092,120,120,100,1322,1234.5,74.2296324673098,1727.75328048877
"2092/2093",2093,121,121,100,1477,1248,74.7144605521444,1173.73569203261
"2093/2094",2094,120,120,100,1427,1478.5,79.5710763061306,2857.63019452617
"2094/2095",2095,120,120,100,1297,1411.5,77.7185870404337,2394.26836011093
"2095/2096",2096,120,120,100,1608,1478,82.9090290556651,1766.54786373302
"2096/2097",2097,121,121,100,1461,1424,78.6651269733538,4300.72248601541
"2097/2098",2098,120,120,100,1204,1133,73.4045722624833,3903.99634062778
"2098/2099",2099,120,120,100,1310,1327,74.9943365786003,1976.14739267342
"2099/2100",2100,120,120,100,1435,1351.5,75.881790659032,2203.63188025448
"2100/2101",2101,120,61,50.8333333333333,958,1050,45.0572378585948,1942.77329084463
