"Treatment","Month","Tmin","Tmax","Year","SSP_Time","month_name"
NA,2,5.32025946616903,11.0843360561634,2040,"SSP1 2050","February"
NA,2,3.30864019817797,7.6590350267242,2042,"SSP1 2050","February"
NA,3,4.9506628941164,9.88260303443517,2051,"SSP1 2050","March"
NA,3,1.27700617508758,8.03892792544578,2091,"SSP1 2050","March"
NA,3,-0.896292755256632,7.70895005979956,2086,"SSP1 2050","March"
NA,3,-1.31652737430156,8.02135485380294,2042,"SSP1 2050","March"
NA,3,-1.10479130601564,9.87757416828223,2082,"SSP1 2050","March"
NA,3,4.71843992491963,17.3161545107581,2081,"SSP1 2050","March"
NA,3,5.8415590754729,15.2488268111347,2096,"SSP1 2050","March"
NA,3,5.92086591160713,13.1930596984896,2055,"SSP1 2050","March"
NA,4,6.1344264637723,15.2938469100706,2053,"SSP1 2050","April"
NA,4,4.23171824912596,13.3777497462939,2051,"SSP1 2050","April"
NA,4,0.772168915274499,12.4012907202516,2039,"SSP1 2050","April"
NA,4,0.608542352541709,12.9496067383536,2015,"SSP1 2050","April"
NA,4,3.29139426113398,17.8373067432628,2100,"SSP1 2050","April"
NA,4,5.91365338684273,20.6440193513626,2056,"SSP1 2050","April"
NA,4,7.97074719210745,20.8805775896918,2020,"SSP1 2050","April"
NA,4,9.75109943517789,20.5702190414394,2022,"SSP1 2050","April"
NA,4,9.20549800824888,19.3771453535206,2066,"SSP1 2050","April"
NA,5,9.32029087687416,17.6540789884864,2033,"SSP1 2050","May"
NA,5,8.26341493510862,16.7176984158906,2007,"SSP1 2050","May"
NA,5,7.62479953121938,16.5760400881839,2100,"SSP1 2050","May"
NA,5,6.01655141373681,16.4818880014406,2055,"SSP1 2050","May"
NA,5,5.34927949492618,19.5215249185351,2040,"SSP1 2050","May"
NA,5,8.18984046778904,22.6783941412111,2038,"SSP1 2050","May"
NA,5,12.7557599062763,25.5719469153854,2027,"SSP1 2050","May"
NA,5,12.5511448601231,23.0422577346317,2039,"SSP1 2050","May"
NA,6,13.2276097871226,21.7064780315084,2037,"SSP1 2085","June"
NA,6,9.3878153878686,20.1303607810366,2076,"SSP1 2085","June"
NA,6,8.85318374265477,20.027084562308,2091,"SSP1 2085","June"
NA,6,9.34422055361057,22.4486139855522,2035,"SSP1 2085","June"
NA,6,9.62285523594728,23.4229570086981,2039,"SSP1 2085","June"
NA,6,11.4429079485414,26.5042175294561,2009,"SSP1 2085","June"
NA,6,12.3638442477913,27.2685501983177,2066,"SSP1 2085","June"
NA,6,17.3050879423278,29.863797157357,2079,"SSP1 2085","June"
NA,6,15.993810660211,25.4215506733771,2008,"SSP1 2085","June"
NA,7,13.9768638251588,22.2538364228476,2001,"SSP1 2085","July"
NA,7,10.9397661071504,22.8079873481646,2075,"SSP1 2085","July"
NA,7,9.90799615065519,24.0742320097628,2021,"SSP1 2085","July"
NA,7,13.1804314644744,27.8490566116602,2056,"SSP1 2085","July"
NA,7,15.7992697466859,30.6067520653476,2088,"SSP1 2085","July"
NA,7,16.4788441222464,31.0881481362224,2044,"SSP1 2085","July"
NA,7,19.2822250558271,32.6424857840791,2048,"SSP1 2085","July"
