"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2081/2082",2082,120,120,100,1613,1800.5,82.6566400074298,3202.04005927593
"2082/2083",2083,120,120,100,1738,1766.5,82.0620133344091,3015.03233743273
"2083/2084",2084,120,120,100,1531,1834.5,83.2367527279675,4129.23691793997
"2084/2085",2085,121,121,100,1629,1462.5,75.6301925699681,1597.45642575808
"2085/2086",2086,120,120,100,1634,1769.5,80.0619010852588,2214.7023147596
"2086/2087",2087,120,120,100,1663,1550.5,81.2713505036263,2406.34045479819
"2087/2088",2088,120,120,100,1803,1754.5,83.8209534487323,1977.99519207701
"2088/2089",2089,121,121,100,1505,1579,80.0994180014204,3028.61476213206
"2089/2090",2090,120,120,100,1749,1781,85.0139305586581,1922.75988037791
"2090/2091",2091,120,120,100,1707,1430.5,79.5096423214545,1108.47068813443
"2091/2092",2092,120,120,100,1531,1522,81.2687699140079,2060.78485075198
"2092/2093",2093,121,121,100,1640,1538.5,79.7342450291781,1530.30954659637
"2093/2094",2094,120,120,100,1499,1713.5,83.2695392699079,3635.5711764358
"2094/2095",2095,120,120,100,1391,1630.5,83.0518478229951,2978.27972075157
"2095/2096",2096,120,120,100,1844,1837,85.7041613649835,2169.47264022566
"2096/2097",2097,121,121,100,1604,1690.5,81.6328814797198,5101.76933107991
"2097/2098",2098,120,120,100,1348,1347.5,75.6152580795442,4722.91780579556
"2098/2099",2099,120,120,100,1471,1536,80.8841220785107,2416.65486668423
"2099/2100",2100,120,120,100,1558,1615,78.8519653945823,2782.67843616568
"2100/2101",2101,120,61,50.8333333333333,919,1085,45.6003955420056,2209.94048344158
