"SSP_Time","GCM","Year","Frost"
"SSP1 2050","AWI-CM-1-1-MR",2016,0
"SSP1 2050","AWI-CM-1-1-MR",2017,0
"SSP1 2050","AWI-CM-1-1-MR",2018,0
"SSP1 2050","AWI-CM-1-1-MR",2019,0
"SSP1 2050","AWI-CM-1-1-MR",2020,0
"SSP1 2050","AWI-CM-1-1-MR",2021,0
"SSP1 2050","AWI-CM-1-1-MR",2022,0
"SSP1 2050","AWI-CM-1-1-MR",2023,0
"SSP1 2050","AWI-CM-1-1-MR",2024,0
"SSP1 2050","AWI-CM-1-1-MR",2025,0
"SSP1 2050","AWI-CM-1-1-MR",2026,0
"SSP1 2050","AWI-CM-1-1-MR",2027,0
"SSP1 2050","AWI-CM-1-1-MR",2028,0
"SSP1 2050","AWI-CM-1-1-MR",2029,0
"SSP1 2050","AWI-CM-1-1-MR",2030,0
"SSP1 2050","AWI-CM-1-1-MR",2031,0
"SSP1 2050","AWI-CM-1-1-MR",2032,0
"SSP1 2050","AWI-CM-1-1-MR",2033,0
"SSP1 2050","AWI-CM-1-1-MR",2034,0
"SSP1 2050","AWI-CM-1-1-MR",2035,27
"SSP1 2050","AWI-CM-1-1-MR",2036,0
"SSP1 2050","AWI-CM-1-1-MR",2037,0
"SSP1 2050","AWI-CM-1-1-MR",2038,0
"SSP1 2050","AWI-CM-1-1-MR",2039,0
"SSP1 2050","AWI-CM-1-1-MR",2040,0
"SSP1 2050","AWI-CM-1-1-MR",2041,0
"SSP1 2050","AWI-CM-1-1-MR",2042,0
"SSP1 2050","AWI-CM-1-1-MR",2043,0
"SSP1 2050","AWI-CM-1-1-MR",2044,0
"SSP1 2050","AWI-CM-1-1-MR",2045,0
"SSP1 2050","AWI-CM-1-1-MR",2046,0
"SSP1 2050","AWI-CM-1-1-MR",2047,0
"SSP1 2050","AWI-CM-1-1-MR",2048,1
"SSP1 2050","AWI-CM-1-1-MR",2049,0
"SSP1 2050","AWI-CM-1-1-MR",2050,0
"SSP1 2050","AWI-CM-1-1-MR",2051,0
"SSP1 2050","AWI-CM-1-1-MR",2052,6
"SSP1 2050","AWI-CM-1-1-MR",2053,0
"SSP1 2050","AWI-CM-1-1-MR",2054,0
"SSP1 2050","AWI-CM-1-1-MR",2055,0
"SSP1 2050","AWI-CM-1-1-MR",2056,0
"SSP1 2050","AWI-CM-1-1-MR",2057,5
"SSP1 2050","AWI-CM-1-1-MR",2058,0
"SSP1 2050","AWI-CM-1-1-MR",2059,0
"SSP1 2050","AWI-CM-1-1-MR",2060,0
"SSP1 2050","AWI-CM-1-1-MR",2061,0
"SSP1 2050","AWI-CM-1-1-MR",2062,0
"SSP1 2050","AWI-CM-1-1-MR",2063,0
"SSP1 2050","AWI-CM-1-1-MR",2064,2
"SSP1 2050","AWI-CM-1-1-MR",2065,0
"SSP1 2050","AWI-CM-1-1-MR",2066,0
"SSP1 2050","AWI-CM-1-1-MR",2067,0
"SSP1 2050","AWI-CM-1-1-MR",2068,2
"SSP1 2050","AWI-CM-1-1-MR",2069,0
"SSP1 2050","AWI-CM-1-1-MR",2070,15
"SSP1 2050","AWI-CM-1-1-MR",2071,0
"SSP1 2050","AWI-CM-1-1-MR",2072,30
"SSP1 2050","AWI-CM-1-1-MR",2073,0
"SSP1 2050","AWI-CM-1-1-MR",2074,0
"SSP1 2050","AWI-CM-1-1-MR",2075,0
"SSP1 2050","AWI-CM-1-1-MR",2076,0
"SSP1 2050","AWI-CM-1-1-MR",2077,0
"SSP1 2050","AWI-CM-1-1-MR",2078,0
"SSP1 2050","AWI-CM-1-1-MR",2079,0
"SSP1 2050","AWI-CM-1-1-MR",2080,0
"SSP1 2050","AWI-CM-1-1-MR",2081,0
"SSP1 2050","AWI-CM-1-1-MR",2082,0
"SSP1 2050","AWI-CM-1-1-MR",2083,0
"SSP1 2050","AWI-CM-1-1-MR",2084,0
"SSP1 2050","AWI-CM-1-1-MR",2085,7
"SSP1 2050","AWI-CM-1-1-MR",2086,0
"SSP1 2050","AWI-CM-1-1-MR",2087,0
"SSP1 2050","AWI-CM-1-1-MR",2088,0
"SSP1 2050","AWI-CM-1-1-MR",2089,0
"SSP1 2050","AWI-CM-1-1-MR",2090,8
"SSP1 2050","AWI-CM-1-1-MR",2091,0
"SSP1 2050","AWI-CM-1-1-MR",2092,0
"SSP1 2050","AWI-CM-1-1-MR",2093,0
"SSP1 2050","AWI-CM-1-1-MR",2094,0
"SSP1 2050","AWI-CM-1-1-MR",2095,0
"SSP1 2050","AWI-CM-1-1-MR",2096,0
"SSP1 2050","AWI-CM-1-1-MR",2097,0
"SSP1 2050","AWI-CM-1-1-MR",2098,0
"SSP1 2050","AWI-CM-1-1-MR",2099,0
"SSP1 2050","AWI-CM-1-1-MR",2100,0
"SSP1 2050","CMCC-ESM2",2002,13
"SSP1 2050","CMCC-ESM2",2003,4
"SSP1 2050","CMCC-ESM2",2004,0
"SSP1 2050","CMCC-ESM2",2005,9
"SSP1 2050","CMCC-ESM2",2006,0
"SSP1 2050","CMCC-ESM2",2007,14
"SSP1 2050","CMCC-ESM2",2008,0
"SSP1 2050","CMCC-ESM2",2009,9
"SSP1 2050","CMCC-ESM2",2010,0
"SSP1 2050","CMCC-ESM2",2011,4
"SSP1 2050","CMCC-ESM2",2012,0
"SSP1 2050","CMCC-ESM2",2013,0
"SSP1 2050","CMCC-ESM2",2014,3
"SSP1 2050","CMCC-ESM2",2015,47
"SSP1 2050","CMCC-ESM2",2016,0
"SSP1 2050","CMCC-ESM2",2017,5
"SSP1 2050","CMCC-ESM2",2018,0
"SSP1 2050","CMCC-ESM2",2019,0
"SSP1 2050","CMCC-ESM2",2020,0
"SSP1 2050","CMCC-ESM2",2021,0
"SSP1 2050","CMCC-ESM2",2022,0
"SSP1 2050","CMCC-ESM2",2023,0
"SSP1 2050","CMCC-ESM2",2024,7
"SSP1 2050","CMCC-ESM2",2025,11
"SSP1 2050","CMCC-ESM2",2026,3
"SSP1 2050","CMCC-ESM2",2027,0
"SSP1 2050","CMCC-ESM2",2028,0
"SSP1 2050","CMCC-ESM2",2029,0
"SSP1 2050","CMCC-ESM2",2030,2
"SSP1 2050","CMCC-ESM2",2031,5
"SSP1 2050","CMCC-ESM2",2032,0
"SSP1 2050","CMCC-ESM2",2033,0
"SSP1 2050","CMCC-ESM2",2034,2
"SSP1 2050","CMCC-ESM2",2035,30
"SSP1 2050","CMCC-ESM2",2036,0
"SSP1 2050","CMCC-ESM2",2037,0
"SSP1 2050","CMCC-ESM2",2038,0
"SSP1 2050","CMCC-ESM2",2039,13
"SSP1 2050","CMCC-ESM2",2040,0
"SSP1 2050","CMCC-ESM2",2041,4
"SSP1 2050","CMCC-ESM2",2042,1
"SSP1 2050","CMCC-ESM2",2043,0
"SSP1 2050","CMCC-ESM2",2044,0
"SSP1 2050","CMCC-ESM2",2045,0
"SSP1 2050","CMCC-ESM2",2046,0
"SSP1 2050","CMCC-ESM2",2047,0
"SSP1 2050","CMCC-ESM2",2048,4
"SSP1 2050","CMCC-ESM2",2049,0
"SSP1 2050","CMCC-ESM2",2050,7
"SSP1 2050","CMCC-ESM2",2051,0
"SSP1 2050","CMCC-ESM2",2052,7
"SSP1 2050","CMCC-ESM2",2053,6
"SSP1 2050","CMCC-ESM2",2054,0
"SSP1 2050","CMCC-ESM2",2055,0
"SSP1 2050","CMCC-ESM2",2056,0
"SSP1 2050","CMCC-ESM2",2057,7
"SSP1 2050","CMCC-ESM2",2058,7
"SSP1 2050","CMCC-ESM2",2059,4
"SSP1 2050","CMCC-ESM2",2060,0
"SSP1 2050","CMCC-ESM2",2061,0
"SSP1 2050","CMCC-ESM2",2062,1
"SSP1 2050","CMCC-ESM2",2063,0
"SSP1 2050","CMCC-ESM2",2064,7
"SSP1 2050","CMCC-ESM2",2065,0
"SSP1 2050","CMCC-ESM2",2066,0
"SSP1 2050","CMCC-ESM2",2067,0
"SSP1 2050","CMCC-ESM2",2068,16
"SSP1 2050","CMCC-ESM2",2069,1
"SSP1 2050","CMCC-ESM2",2070,37
"SSP1 2050","CMCC-ESM2",2071,2
"SSP1 2050","CMCC-ESM2",2072,31
"SSP1 2050","CMCC-ESM2",2073,0
"SSP1 2050","CMCC-ESM2",2074,3
"SSP1 2050","CMCC-ESM2",2075,0
"SSP1 2050","CMCC-ESM2",2076,0
"SSP1 2050","CMCC-ESM2",2077,0
"SSP1 2050","CMCC-ESM2",2078,0
"SSP1 2050","CMCC-ESM2",2079,0
"SSP1 2050","CMCC-ESM2",2080,0
"SSP1 2050","CMCC-ESM2",2081,0
"SSP1 2050","CMCC-ESM2",2082,0
"SSP1 2050","CMCC-ESM2",2083,0
"SSP1 2050","CMCC-ESM2",2084,0
"SSP1 2050","CMCC-ESM2",2085,0
"SSP1 2050","CMCC-ESM2",2086,0
"SSP1 2050","CMCC-ESM2",2087,0
"SSP1 2050","CMCC-ESM2",2088,0
"SSP1 2050","CMCC-ESM2",2089,3
"SSP1 2050","CMCC-ESM2",2090,9
"SSP1 2050","CMCC-ESM2",2091,0
"SSP1 2050","CMCC-ESM2",2092,0
"SSP1 2050","CMCC-ESM2",2093,0
"SSP1 2050","CMCC-ESM2",2094,1
"SSP1 2050","CMCC-ESM2",2095,0
"SSP1 2050","CMCC-ESM2",2096,0
"SSP1 2050","CMCC-ESM2",2097,0
"SSP1 2050","CMCC-ESM2",2098,0
"SSP1 2050","CMCC-ESM2",2099,8
"SSP1 2050","CMCC-ESM2",2100,3
"SSP1 2050","CNRM-CM6-1-HR",2002,1
"SSP1 2050","CNRM-CM6-1-HR",2003,0
"SSP1 2050","CNRM-CM6-1-HR",2004,0
