"SSP_Time","GCM","Year","Pheno"
"SSP1 2050","ACCESS-CM2",2099,102.208333333333
"SSP1 2050","ACCESS-CM2",2100,94.1666666666667
"SSP1 2050","AWI-CM-1-1-MR",2001,NA
"SSP1 2050","AWI-CM-1-1-MR",2002,110.375
"SSP1 2050","AWI-CM-1-1-MR",2003,104.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2004,99.0833333333333
"SSP1 2050","AWI-CM-1-1-MR",2005,94.9583333333333
"SSP1 2050","AWI-CM-1-1-MR",2006,94.2916666666667
"SSP1 2050","AWI-CM-1-1-MR",2007,98.2083333333333
"SSP1 2050","AWI-CM-1-1-MR",2008,102.25
"SSP1 2050","AWI-CM-1-1-MR",2009,98.4166666666667
"SSP1 2050","AWI-CM-1-1-MR",2010,97.1666666666667
"SSP1 2050","AWI-CM-1-1-MR",2011,93.1666666666667
"SSP1 2050","AWI-CM-1-1-MR",2012,106.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2013,98.3333333333333
"SSP1 2050","AWI-CM-1-1-MR",2014,103.333333333333
"SSP1 2050","AWI-CM-1-1-MR",2015,114.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2016,107.583333333333
"SSP1 2050","AWI-CM-1-1-MR",2017,102.166666666667
"SSP1 2050","AWI-CM-1-1-MR",2018,97.4583333333333
"SSP1 2050","AWI-CM-1-1-MR",2019,118.166666666667
"SSP1 2050","AWI-CM-1-1-MR",2020,98.1666666666667
"SSP1 2050","AWI-CM-1-1-MR",2021,93.9166666666667
"SSP1 2050","AWI-CM-1-1-MR",2022,95.1666666666667
"SSP1 2050","AWI-CM-1-1-MR",2023,101.958333333333
"SSP1 2050","AWI-CM-1-1-MR",2024,100.333333333333
"SSP1 2050","AWI-CM-1-1-MR",2025,91.1666666666667
"SSP1 2050","AWI-CM-1-1-MR",2026,83.125
"SSP1 2050","AWI-CM-1-1-MR",2027,87.5416666666667
"SSP1 2050","AWI-CM-1-1-MR",2028,87.125
"SSP1 2050","AWI-CM-1-1-MR",2029,93.9166666666667
"SSP1 2050","AWI-CM-1-1-MR",2030,105.125
"SSP1 2050","AWI-CM-1-1-MR",2031,98.0416666666667
"SSP1 2050","AWI-CM-1-1-MR",2032,94.25
"SSP1 2050","AWI-CM-1-1-MR",2033,100.958333333333
"SSP1 2050","AWI-CM-1-1-MR",2034,103.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2035,110
"SSP1 2050","AWI-CM-1-1-MR",2036,101.25
"SSP1 2050","AWI-CM-1-1-MR",2037,112.333333333333
"SSP1 2050","AWI-CM-1-1-MR",2038,107.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2039,122.041666666667
"SSP1 2050","AWI-CM-1-1-MR",2040,96
"SSP1 2050","AWI-CM-1-1-MR",2041,90.625
"SSP1 2050","AWI-CM-1-1-MR",2042,106.125
"SSP1 2050","AWI-CM-1-1-MR",2043,103.166666666667
"SSP1 2050","AWI-CM-1-1-MR",2044,94.4583333333333
"SSP1 2050","AWI-CM-1-1-MR",2045,106.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2046,116.375
"SSP1 2050","AWI-CM-1-1-MR",2047,98.9583333333333
"SSP1 2050","AWI-CM-1-1-MR",2048,103.458333333333
"SSP1 2050","AWI-CM-1-1-MR",2049,108.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2050,101.416666666667
"SSP1 2050","AWI-CM-1-1-MR",2051,118.541666666667
"SSP1 2050","AWI-CM-1-1-MR",2052,117
"SSP1 2050","AWI-CM-1-1-MR",2053,97.7916666666667
"SSP1 2050","AWI-CM-1-1-MR",2054,98.0833333333333
"SSP1 2050","AWI-CM-1-1-MR",2055,90.8333333333333
"SSP1 2050","AWI-CM-1-1-MR",2056,95.9583333333333
"SSP1 2050","AWI-CM-1-1-MR",2057,104.083333333333
"SSP1 2050","AWI-CM-1-1-MR",2058,98.1666666666667
"SSP1 2050","AWI-CM-1-1-MR",2059,100.333333333333
"SSP1 2050","AWI-CM-1-1-MR",2060,103.5
"SSP1 2050","AWI-CM-1-1-MR",2061,104.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2062,108.25
"SSP1 2050","AWI-CM-1-1-MR",2063,102.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2064,115.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2065,89.1666666666667
"SSP1 2050","AWI-CM-1-1-MR",2066,94.9583333333333
"SSP1 2050","AWI-CM-1-1-MR",2067,94.3333333333333
"SSP1 2050","AWI-CM-1-1-MR",2068,97.25
"SSP1 2050","AWI-CM-1-1-MR",2069,95.3333333333333
"SSP1 2050","AWI-CM-1-1-MR",2070,91.375
"SSP1 2050","AWI-CM-1-1-MR",2071,96.2916666666667
"SSP1 2050","AWI-CM-1-1-MR",2072,104.416666666667
"SSP1 2050","AWI-CM-1-1-MR",2073,92.1666666666667
"SSP1 2050","AWI-CM-1-1-MR",2074,98.625
"SSP1 2050","AWI-CM-1-1-MR",2075,99.2916666666667
"SSP1 2050","AWI-CM-1-1-MR",2076,105.125
"SSP1 2050","AWI-CM-1-1-MR",2077,97.2083333333333
"SSP1 2050","AWI-CM-1-1-MR",2078,112.375
"SSP1 2050","AWI-CM-1-1-MR",2079,90.5
"SSP1 2050","AWI-CM-1-1-MR",2080,93.8333333333333
"SSP1 2050","AWI-CM-1-1-MR",2081,74.375
"SSP1 2050","AWI-CM-1-1-MR",2082,107.5
"SSP1 2050","AWI-CM-1-1-MR",2083,120.083333333333
"SSP1 2050","AWI-CM-1-1-MR",2084,93.0416666666667
