"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1450,1713,83.0877625312479,4526.92231351033
"2002/2003",2003,120,120,100,1478,1749.5,83.6070150337607,3880.93811765248
"2003/2004",2004,120,120,100,1657,1606.5,81.7153498410314,1790.82261276766
"2004/2005",2005,121,121,100,1859,1863,86.9616920902645,2658.42151327775
"2005/2006",2006,120,120,100,1649,1983.5,88.6930761991873,3858.47622656066
"2006/2007",2007,120,120,100,1604,1854.5,83.6594982882576,3263.82758751442
"2007/2008",2008,120,120,100,1513,1415.5,76.5164787549162,2351.399864893
"2008/2009",2009,121,121,100,1663,1731,81.7193652609126,2533.6710953968
"2009/2010",2010,120,120,100,1670,1925,82.8198709709486,2662.03755979519
"2010/2011",2011,120,120,100,1927,1966,86.7996539647695,2367.38615210447
"2011/2012",2012,120,120,100,1791,1824,82.8714528594264,2438.01590887702
"2012/2013",2013,121,121,100,1476,1626.5,83.9081049069448,2973.40830647212
"2013/2014",2014,120,120,100,1605,1590,80.8855369549565,2122.35020384984
"2014/2015",2015,120,120,100,918,907.5,64.4534740231898,4196.77507462457
"2015/2016",2016,120,120,100,1691,1805,83.9297123453275,3252.14715354308
"2016/2017",2017,121,121,100,1375,1486.5,77.5157747666676,4496.3769206031
"2017/2018",2018,120,120,100,1342,1422.5,72.7985936398022,3951.63493769709
"2018/2019",2019,120,120,100,1419,1267,72.2738305856315,2603.03090095683
"2019/2020",2020,120,120,100,1459,1614,82.3449076926386,3955.74792420049
"2020/2021",2021,121,121,100,1637,1882,86.7463499913028,4254.53141240706
"2021/2022",2022,120,120,100,1322,1204.5,72.8903238379553,2375.85781251825
"2022/2023",2023,120,120,100,1430,1358,73.9517108028936,3921.9552856253
"2023/2024",2024,120,120,100,1670,1906,85.9883911731145,3742.76224793983
"2024/2025",2025,121,121,100,1627,1889,88.8469509032852,3298.11540056113
"2025/2026",2026,120,120,100,1698,1764.5,83.7137898638853,3145.29583799327
"2026/2027",2027,120,120,100,1321,1251.5,72.6872173407587,1389.22466784879
"2027/2028",2028,120,120,100,1569,1634,81.176018616984,3114.15070208977
"2028/2029",2029,121,121,100,1715,1635.5,83.426250963751,2151.91409960832
"2029/2030",2030,120,120,100,1499,1601.5,79.905446394313,2784.61463084444
"2030/2031",2031,120,120,100,1477,1733,86.9630116673625,3640.42024670402
"2031/2032",2032,120,120,100,1511,1553.5,78.3582410761373,2914.6078471588
"2032/2033",2033,121,121,100,1681,1795,83.1853657414922,2765.04028958571
"2033/2034",2034,120,120,100,1603,1553.5,81.1694516302232,1912.24349106965
"2034/2035",2035,120,120,100,1378,1260.5,73.2176341296945,2522.09832950588
"2035/2036",2036,120,120,100,1517,1541.5,81.1681228085536,3407.80389376171
"2036/2037",2037,121,121,100,1456,1750,85.12070195863,3430.26820776938
"2037/2038",2038,120,120,100,1567,1362.5,79.0191856056435,1600.73468488595
"2038/2039",2039,120,120,100,1557,1799.5,81.1884657225855,3932.81894761743
"2039/2040",2040,120,120,100,1555,1949.5,87.901053649779,4722.5768191414
"2040/2041",2041,121,121,100,1651,1798.5,86.4723255206554,3260.51814322406
"2041/2042",2042,120,120,100,1874,1877.5,84.2841459261117,1939.82939047972
"2042/2043",2043,120,120,100,1170,1810,82.3667561030552,6348.73646796588
"2043/2044",2044,120,120,100,1768,1523.5,81.201938631385,1426.43984075729
"2044/2045",2045,121,121,100,1817,1912,83.977144460302,2760.16440859111
"2045/2046",2046,120,120,100,1345,1364,75.8465704988503,2458.49255427253
"2046/2047",2047,120,120,100,1569,1448,78.1744442995141,2590.12945466302
"2047/2048",2048,120,120,100,1525,1680,78.6745120641353,2595.10168378847
"2048/2049",2049,121,121,100,1904,1854,86.544906975957,2139.64124265406
"2049/2050",2050,120,120,100,1632,1465,78.5834889186735,1606.64054672001
"2050/2051",2051,120,120,100,1725,1335.5,77.1227759691637,1161.52806399064
"2051/2052",2052,120,120,100,1503,1461.5,79.4093182706983,3369.14464681642
"2052/2053",2053,121,121,100,1510,1612,80.6829147805047,4436.65549263032
"2053/2054",2054,120,120,100,1525,1843.5,86.2235875102979,3962.76338704815
"2054/2055",2055,120,120,100,1633,1870.5,85.5684694809861,3904.88206294458
"2055/2056",2056,120,120,100,1536,1557,80.2941367071508,3110.05540658673
"2056/2057",2057,121,121,100,1712,1426.5,74.9332699886345,4485.34488210594
"2057/2058",2058,120,120,100,1378,1540,76.6495130610965,2886.95126148546
"2058/2059",2059,120,120,100,1737,1948.5,86.9396014748454,3493.03874167055
"2059/2060",2060,120,120,100,1305,1260.5,72.3003004773254,2234.28979737079
"2060/2061",2061,121,121,100,1495,1737,84.3324777413964,3983.05181769747
"2061/2062",2062,120,120,100,1364,1261,69.0966010930388,5547.7206222415
"2062/2063",2063,120,120,100,1670,1471,77.1875569871099,1682.32194109075
"2063/2064",2064,120,120,100,1708,1535,81.065013471678,1385.47865764424
"2064/2065",2065,121,121,100,1430,1545.5,80.1503199128456,3147.51829956705
"2065/2066",2066,120,120,100,1714,1798.5,84.7701497420458,3007.86634890316
"2066/2067",2067,120,120,100,1795,1839.5,85.8081810046115,2887.86132929893
"2067/2068",2068,120,120,100,1650,1481,79.2346124652213,1486.27926712763
"2068/2069",2069,121,121,100,1390,1852,87.1894724162939,4620.25348396599
"2069/2070",2070,120,120,100,1410,1432.5,77.1447208437457,3448.85418877378
"2070/2071",2071,120,120,100,1628,1762.5,79.6382974740536,2742.52463677153
"2071/2072",2072,120,120,100,1609,1603,81.9676202138671,2663.58606158011
"2072/2073",2073,121,121,100,1481,1560.5,82.9356431629385,4151.02747237589
"2073/2074",2074,120,120,100,1584,1879,84.4293629164167,4154.08108901139
"2074/2075",2075,120,120,100,1297,1246,69.923677583678,5497.53860647697
"2075/2076",2076,120,120,100,1326,1662,83.364362893306,4329.99953413196
"2076/2077",2077,121,121,100,1757,2031,87.4693088810327,3831.17220205907
"2077/2078",2078,120,120,100,1651,1416.5,78.1595597527958,1461.82422908954
